DATE,temp_celsius
195201,-1.40
195202,-4.00
195203,-10.11
195204,4.23
195205,7.04
195206,13.61
195207,16.23
195208,14.16
195209,8.46
195210,2.16
195211,-2.38
195212,-2.91
195301,-5.40
195302,-8.66
195303,-0.48
195304,4.42
195305,9.27
195306,17.04
195307,17.07
195308,15.11
195309,9.65
195310,7.22
195311,1.41
195312,-1.29
195401,-7.07
195402,-11.53
195403,-1.27
195404,1.41
195405,11.46
195406,13.91
195407,16.92
195408,15.15
195409,11.30
195410,5.15
195411,0.07
195412,-0.08
195501,-5.47
195502,-8.26
195503,-5.74
195504,-1.04
195505,6.09
195506,12.46
195507,17.93
195508,17.92
195509,13.08
195510,5.86
195511,-1.13
195512,-11.09
195601,-8.13
195602,-14.55
195603,-4.39
195604,-0.38
195605,8.65
195606,15.72
195607,15.42
195608,12.64
195609,8.45
195610,4.46
195611,-4.57
195612,-2.45
195701,-2.44
195702,-3.52
195703,-7.29
195704,1.64
195705,8.27
195706,12.41
195707,17.83
195708,15.36
195709,9.37
195710,5.65
195711,0.82
195712,-2.03
195801,-8.32
195802,-9.46
195803,-7.58
195804,1.02
195805,8.23
195806,13.39
195807,15.34
195808,14.52
195809,10.41
195810,6.11
195811,3.19
195812,-6.61
195901,-5.15
195902,-2.36
195903,0.32
195904,3.87
195905,9.70
195906,15.07
195907,17.83
195908,16.97
195909,8.81
195910,4.77
195911,1.41
195912,-5.15
196001,-10.23
196002,-8.93
196003,-4.59
196004,1.85
196005,10.98
196006,16.28
196007,18.07
196008,15.11
196009,10.11
196010,3.28
196011,-0.69
196012,-0.32
196101,-3.65
196102,-0.36
196103,0.36
196104,2.63
196105,9.89
196106,17.00
196107,15.86
196108,14.18
196109,9.72
196110,8.66
196111,1.72
196112,-5.07
196201,-3.66
196202,-5.20
196203,-7.49
196204,3.78
196205,8.58
196206,12.04
196207,14.62
196208,13.03
196209,9.37
196210,6.79
196211,1.50
196212,-6.81
196301,-9.89
196302,-10.83
196303,-8.73
196304,2.81
196305,13.21
196306,14.83
196307,16.88
196308,16.34
196309,12.63
196310,6.02
196311,-0.19
196312,-4.14
196401,
196402,
196403,
196404,
196405,
196406,
196407,
196408,
196409,
196410,
196411,
196412,
196501,
196502,
196503,
196504,
196505,
196506,
196507,
196508,
196509,
196510,
196511,
196512,
196601,
196602,
196603,
196604,
196605,
196606,
196607,
196608,
196609,
196610,
196611,
196612,
196701,
196702,
196703,
196704,
196705,
196706,
196707,
196708,
196709,
196710,
196711,
196712,
196801,
196802,
196803,
196804,
196805,
196806,
196807,
196808,
196809,
196810,
196811,
196812,
196901,
196902,
196903,
196904,
196905,
196906,
196907,
196908,
196909,
196910,
196911,
196912,
197001,
197002,
197003,
197004,
197005,
197006,
197007,
197008,
197009,
197010,
197011,
197012,
197101,
197102,
197103,
197104,
197105,
197106,
197107,
197108,
197109,
197110,
197111,
197112,
197201,
197202,
197203,
197204,
197205,
197206,
197207,
197208,
197209,
197210,
197211,
197212,
197301,-1.97
197302,-4.58
197303,-1.22
197304,2.67
197305,10.16
197306,16.74
197307,19.73
197308,14.91
197309,6.91
197310,2.24
197311,-3.04
197312,-6.56
197401,-2.92
197402,-0.52
197403,-1.16
197404,2.67
197405,7.13
197406,14.35
197407,15.70
197408,14.68
197409,12.22
197410,5.68
197411,2.20
197412,0.73
197501,-1.38
197502,-2.96
197503,-0.36
197504,3.33
197505,11.89
197506,13.67
197507,17.71
197508,16.36
197509,12.87
197510,4.82
197511,1.17
197512,-1.86
197601,-9.95
197602,-7.11
197603,-4.82
197604,2.11
197605,11.20
197606,12.89
197607,15.73
197608,15.36
197609,8.19
197610,1.70
197611,0.74
197612,-4.32
197701,-6.45
197702,-8.91
197703,-2.17
197704,1.76
197705,9.53
197706,14.33
197707,14.86
197708,14.70
197709,8.35
197710,5.36
197711,1.74
197712,-3.80
197801,-5.81
197802,-11.39
197803,-2.62
197804,2.17
197805,10.66
197806,14.67
197807,15.13
197808,13.55
197809,8.39
197810,3.96
197811,2.00
197812,-12.76
197901,-8.66
197902,-9.88
197903,-1.99
197904,1.69
197905,10.56
197906,16.02
197907,14.84
197908,16.09
197909,9.57
197910,3.91
197911,1.39
197912,-3.82
198001,-8.84
198002,-8.28
198003,-6.16
198004,4.78
198005,7.15
198006,16.81
198007,16.72
198008,14.78
198009,10.81
198010,5.23
198011,-2.46
198012,-2.97
198101,-4.10
198102,-6.07
198103,-5.79
198104,1.69
198105,11.08
198106,12.93
198107,16.56
198108,13.92
198109,10.28
198110,6.06
198111,-0.02
198112,-6.08
198201,-10.36
198202,-5.71
198203,-0.36
198204,2.69
198205,9.18
198206,11.56
198207,17.04
198208,15.66
198209,10.22
198210,4.93
198211,3.56
198212,-0.18
198301,-1.56
198302,-8.06
198303,-2.65
198304,5.20
198305,11.54
198306,13.54
198307,17.80
198308,15.66
198309,11.39
198310,5.84
198311,-1.63
198312,-2.63
198401,-4.39
198402,-5.69
198403,-4.18
198404,4.69
198405,12.76
198406,13.94
198407,15.16
198408,14.91
198409,9.85
198410,7.13
198411,1.19
198412,-1.95
198501,-15.52
198502,-15.12
198503,-2.51
198504,1.07
198505,9.43
198506,13.43
198507,15.81
198508,16.13
198509,9.19
198510,6.94
198511,-1.35
198512,-6.47
198601,-7.90
198602,-11.61
198603,-1.22
198604,0.56
198605,10.88
198606,16.83
198607,17.15
198608,13.78
198609,7.07
198610,5.66
198611,3.69
198612,-7.04
198701,-17.97
198702,-6.85
198703,-6.22
198704,2.63
198705,8.37
198706,12.69
198707,15.36
198708,12.53
198709,8.94
198710,6.97
198711,-0.50
198712,-4.71
198801,-2.58
198802,-4.08
198803,-3.08
198804,1.65
198805,12.11
198806,17.28
198807,19.77
198808,14.59
198809,11.28
198810,4.61
198811,-3.19
198812,-6.24
198901,-0.25
198902,0.42
198903,1.59
198904,5.52
198905,11.06
198906,16.13
198907,17.47
198908,14.35
198909,11.56
198910,5.36
198911,0.48
198912,-4.98
199001,-3.87
199002,1.17
199003,1.38
199004,6.20
199005,9.87
199006,14.39
199007,15.91
199008,15.79
199009,8.70
199010,5.34
199011,-0.98
199012,-1.02
199101,-2.99
199102,-6.25
199103,-0.65
199104,3.69
199105,8.05
199106,12.93
199107,17.72
199108,16.67
199109,9.94
199110,5.86
199111,3.19
199112,-1.24
199201,-1.58
199202,-2.05
199203,0.91
199204,2.00
199205,11.45
199206,15.91
199207,16.81
199208,14.96
199209,12.02
199210,0.65
199211,-1.31
199212,0.45
199301,-1.77
199302,-2.68
199303,-0.66
199304,3.72
199305,13.46
199306,12.20
199307,16.09
199308,13.64
199309,6.50
199310,3.78
199311,-3.04
199312,-2.96
199401,-3.98
199402,-12.96
199403,-2.58
199404,5.20
199405,8.46
199406,12.87
199407,19.93
199408,15.59
199409,11.15
199410,4.86
199411,-0.43
199412,-0.48
199501,-3.15
199502,-0.38
199503,0.20
199504,3.39
199505,9.21
199506,17.56
199507,16.08
199508,16.20
199509,10.94
199510,8.05
199511,-2.17
199512,-8.01
199601,-6.09
199602,-10.13
199603,-3.21
199604,3.26
199605,9.27
199606,13.57
199607,14.75
199608,17.69
199609,8.85
199610,6.77
199611,3.41
199612,-5.09
199701,-4.10
199702,-3.23
199703,-0.70
199704,2.02
199705,8.44
199706,16.59
199707,18.58
199708,18.53
199709,10.52
199710,3.05
199711,0.24
199712,-3.33
199801,-1.72
199802,-4.44
199803,-4.21
199804,2.94
199805,10.45
199806,14.61
199807,16.31
199808,13.76
199809,11.70
199810,5.91
199811,-3.31
199812,-1.99
199901,-5.48
199902,-7.12
199903,-1.27
199904,5.91
199905,8.10
199906,18.56
199907,19.32
199908,15.50
199909,12.93
199910,6.86
199911,2.72
199912,-2.08
200001,-2.72
200002,-2.36
200003,-0.63
200004,6.43
200005,10.95
200006,14.50
200007,16.97
200008,15.56
200009,9.74
200010,8.98
200011,4.67
200012,1.25
200101,-2.11
200102,-7.90
200103,-3.58
200104,5.50
200105,9.64
200106,14.20
200107,20.41
200108,16.40
200109,12.15
200110,8.14
200111,-0.02
200112,-7.06
200201,-3.51
200202,-0.81
200203,0.36
200204,5.80
200205,12.06
200206,16.37
200207,19.39
200208,19.37
200209,11.20
200210,0.59
200211,-2.78
200212,-8.21
200301,-9.80
200302,-5.75
200303,-1.49
200304,2.50
200305,9.86
200306,13.11
200307,20.32
200308,15.91
200309,11.50
200310,3.55
200311,2.91
200312,-0.97
200401,-7.20
200402,-4.89
200403,-1.42
200404,4.43
200405,10.13
200406,13.00
200407,16.34
200408,16.68
200409,12.26
200410,5.61
200411,-0.28
200412,-0.45
200501,-0.99
200502,-5.67
200503,-6.40
200504,4.35
200505,10.27
200506,14.13
200507,18.92
200508,16.15
200509,12.28
200510,7.06
200511,3.63
200512,-3.39
200601,-4.71
200602,-9.09
200603,-6.67
200604,3.81
200605,10.57
200606,16.26
200607,18.91
200608,18.10
200609,13.69
200610,7.63
200611,1.65
200612,3.28
200701,-2.28
200702,-9.66
200703,2.83
200704,5.19
200705,10.99
200706,15.46
200707,17.24
200708,17.15
200709,10.93
200710,6.43
200711,0.07
200712,1.65
200801,-0.22
200802,0.34
200803,-0.52
200804,6.24
200805,10.73
200806,14.54
200807,17.06
200808,14.80
200809,9.59
200810,8.23
200811,2.48
200812,0.43
200901,-3.98
200902,-5.00
200903,-1.79
200904,4.57
200905,11.49
200906,14.11
200907,17.13
200908,16.08
200909,12.83
200910,3.32
200911,2.56
200912,-5.34
201001,-12.56
201002,-9.13
201003,-2.58
201004,4.61
201005,11.90
201006,14.89
201007,22.33
201008,17.67
201009,11.50
201010,5.05
201011,-1.70
201012,-8.87
201101,-5.45
201102,-11.94
201103,-1.59
201104,5.96
201105,10.73
201106,17.37
201107,20.79
201108,16.83
201109,13.07
201110,7.67
201111,4.37
201112,2.19
201201,-5.00
201202,-8.16
201203,-0.14
201204,3.91
201205,11.11
201206,13.61
201207,17.90
201208,15.29
201209,11.76
201210,5.86
201211,3.24
201212,-6.63
201301,-5.86
201302,-2.62
201303,-6.76
201304,2.76
201305,13.30
201306,17.81
201307,18.03
201308,17.03
201309,11.59
201310,6.58
201311,3.56
201312,1.36
201401,-7.51
201402,-0.38
201403,1.52
201404,5.61
201405,10.82
201406,13.56
201407,19.98
201408,17.29
201409,11.89
201410,5.73
201411,2.31
201412,-1.15
201501,-1.81
201502,0.12
201503,1.67
201504,5.17
201505,9.59
201506,13.54
201507,16.08
201508,16.70
201509,12.54
201510,5.18
201511,4.59
201512,2.20
201601,-10.23
201602,-0.44
201603,0.07
201604,4.65
201605,13.85
201606,15.37
201607,17.42
201608,15.90
201609,12.44
201610,4.50
201611,-0.54
201612,-0.79
201701,-2.89
201702,-3.19
201703,0.70
201704,2.24
201705,9.46
201706,13.50
201707,15.72
201708,15.72
201709,11.30
201710,9.03
